antimage	models/heroes/antimage/antimage.vmdl_c
axe	models/heroes/axe/axe.vmdl_c
bane	models/heroes/bane/bane.vmdl_c
bloodseeker	models/heroes/blood_seeker/blood_seeker.vmdl_c
crystal_maiden	models/heroes/crystal_maiden/crystal_maiden.vmdl_c
drow_ranger	models/heroes/drow/drow_base.vmdl_c
earthshaker	models/heroes/earthshaker/earthshaker.vmdl_c
juggernaut	models/heroes/juggernaut/juggernaut.vmdl_c
mirana	models/heroes/mirana/mirana.vmdl_c
nevermore	models/heroes/shadow_fiend/shadow_fiend.vmdl_c
morphling	models/heroes/morphling/morphling.vmdl_c
phantom_lancer	models/heroes/phantom_lancer/phantom_lancer.vmdl_c
puck	models/heroes/puck/puck.vmdl_c
pudge	models/heroes/pudge/pudge.vmdl_c
razor	models/heroes/razor/razor.vmdl_c
sand_king	models/heroes/sand_king/sand_king.vmdl_c
storm_spirit	models/heroes/storm_spirit/storm_spirit.vmdl_c
sven	models/heroes/sven/sven.vmdl_c
tiny	models/heroes/tiny/tiny_01/tiny_01.vmdl_c
vengefulspirit	models/heroes/vengeful/vengeful.vmdl_c
windrunner	models/heroes/windrunner/windrunner.vmdl_c
zuus	models/heroes/zeus/zeus.vmdl_c
kunkka	models/heroes/kunkka/kunkka.vmdl_c
lina	models/heroes/lina/lina.vmdl_c
lich	models/heroes/lich/lich.vmdl_c
lion	models/heroes/lion/lion.vmdl_c
shadow_shaman	models/heroes/shadowshaman/shadowshaman.vmdl_c
slardar	models/heroes/slardar/slardar.vmdl_c
tidehunter	models/heroes/tidehunter/tidehunter.vmdl_c
witch_doctor	models/heroes/witchdoctor/witchdoctor.vmdl_c
riki	models/heroes/rikimaru/rikimaru.vmdl_c
enigma	models/heroes/enigma/enigma.vmdl_c
tinker	models/heroes/tinker/tinker.vmdl_c
sniper	models/heroes/sniper/sniper.vmdl_c
necrolyte	models/heroes/necrolyte/necrolyte.vmdl_c
warlock	models/heroes/warlock/warlock.vmdl_c
beastmaster	models/heroes/beastmaster/beastmaster.vmdl_c
queenofpain	models/heroes/queenofpain/queenofpain.vmdl_c
venomancer	models/heroes/venomancer/venomancer.vmdl_c
faceless_void	models/heroes/faceless_void/faceless_void.vmdl_c
skeleton_king	models/heroes/wraith_king/wraith_king.vmdl_c
death_prophet	models/heroes/death_prophet/death_prophet.vmdl_c
phantom_assassin	models/heroes/phantom_assassin/phantom_assassin.vmdl_c
pugna	models/heroes/pugna/pugna.vmdl_c
templar_assassin	models/heroes/lanaya/lanaya.vmdl_c
viper	models/heroes/viper/viper.vmdl_c
luna	models/heroes/luna/luna.vmdl_c
dragon_knight	models/heroes/dragon_knight/dragon_knight.vmdl_c
dazzle	models/heroes/dazzle/dazzle.vmdl_c
rattletrap	models/heroes/rattletrap/rattletrap.vmdl_c
leshrac	models/heroes/leshrac/leshrac.vmdl_c
